tweet_id,favorite_count,retweet_count,source,retweeted_status,expanded_urls
703774238772166656,1769,427,,Original tweet,https://t.co/ZvxdB4i9AG
703769065844768768,3115,1083,,Original tweet,https://t.co/QQZDCYl6zT
703631701117943808,2446,631,,Original tweet,https://t.co/XTVbSRdvcp
703611486317502464,3673,1448,,Original tweet,https://t.co/JSmX1FIEaW
703425003149250560,3624,1281,,Original tweet,https://t.co/6JYLpUmBrC
703407252292673536,2332,653,,Original tweet,https://t.co/GUbFF4o6dZ
703382836347330562,3341,1082,,Original tweet,https://t.co/B9dOrmnPVt
703356393781329922,1830,366,,Original tweet,https://t.co/8rc5I22bBf
703268521220972544,1894,514,,Original tweet,https://t.co/eBcqv9SPkY
703079050210877440,7057,2919,,Original tweet,https://t.co/hMjzhdUHaW
703041949650034688,25144,11768,,Original tweet,https://t.co/iHe6liLwWR
702932127499816960,2467,680,,Original tweet,https://t.co/LUFnwzznaV
702899151802126337,1530,425,,Original tweet,https://t.co/F9aLnADVIw
702684942141153280,3089,1006,,Original tweet,https://t.co/d2b5C2R0aO
702671118226825216,2090,534,,Original tweet,https://t.co/MpH1Fe9LhZ
702598099714314240,11692,3253,,Original tweet,https://t.co/IpAoztle2s
702539513671897089,2762,912,,Original tweet,https://t.co/4EnShAQjv6
702332542343577600,3022,1460,,Original tweet,https://t.co/Dph4FDGoMd
702321140488925184,3137,998,,Original tweet,https://t.co/7u8mM99Tj5
702276748847800320,2354,727,,Original tweet,https://t.co/rSNCEiTtfI
702217446468493312,4570,1274,,Original tweet,https://t.co/y35Y1TJERY
701981390485725185,3291,930,,Original tweet,https://t.co/fZRob6eotY
701952816642965504,3672,976,,Original tweet,https://t.co/KInss2PXyX
701889187134500865,3377,1311,,Original tweet,https://t.co/rH9SQgZUnQ
701805642395348998,3258,1580,,Original tweet,https://t.co/8sdVenUAqr
701601587219795968,2007,431,,Original tweet,https://t.co/MWw3pVMhJA
701570477911896070,2691,879,,Original tweet,https://t.co/yVdMsVYHIx
701545186879471618,2549,580,,Original tweet,https://t.co/SDVkc4m96M
701214700881756160,11669,4834,,Original tweet,https://t.co/JKXh0NbBNL
700890391244103680,2123,535,,Original tweet,https://t.co/TBv7Qh1zxZ
700864154249383937,2481,594,,Original tweet,https://t.co/ItSsE92gCW
700847567345688576,2352,475,,Original tweet,https://t.co/110Eeg7KW3
700796979434098688,2329,891,,Original tweet,https://t.co/5XaR0kj8cr
700747788515020802,21765,8780,,Original tweet,https://t.co/22x9SbCYCU
